"Scan Date","Scan Method","Scan Source","Visibility","Submitter","Scan URL","Task URL","Task Domain","Task Apex Domain","Task Tags","Page Country","Page IP","Page PTR Record","Page ASN","Page AS Name","Page Server","Page URL","Page Domain","Page Apex Domain","Malicious","Brands","Labels"
"2025-07-27T03:43:41.202Z","api","","public","us","https://urlscan.io/result/019849fa-58cd-7599-ac2e-28e85768e9c6/","https://coodapis.com.br/","coodapis.com.br","coodapis.com.br","","DE","2a02:4780:44:99d1:c338:43d5:4389:434a","","AS47583","AS-HOSTINGER Hostinger International Limited, CY","hcdn","https://coodapis.com.br/","coodapis.com.br","coodapis.com.br","false","","visual.person"
"2025-07-22T21:17:24.827Z","manual","","public","br","https://urlscan.io/result/019833ff-72d1-73f9-a724-9c4a07677c3c/","http://invistaemcataguases.com.br/venda-para-o-municipio/emissao-de-certidoes/","invistaemcataguases.com.br","invistaemcataguases.com.br","","BR","62.72.62.23","","AS47583","AS-HOSTINGER Hostinger International Limited, CY","LiteSpeed","https://invistaemcataguases.com.br/venda-para-o-municipio/emissao-de-certidoes/","invistaemcataguases.com.br","invistaemcataguases.com.br","false","",""
"2025-07-20T09:30:50.615Z","api","","public","nl","https://urlscan.io/result/0198272b-d1bd-7524-9853-645dd0d5557f/","http://7spicesindia.co/","7spicesindia.co","7spicesindia.co","","IN","145.223.22.127","srv691583.hstgr.cloud","AS47583","AS-HOSTINGER Hostinger International Limited, CY","nginx","https://7spicesindia.co/","7spicesindia.co","7spicesindia.co","false","",""
"2025-07-17T22:49:49.565Z","api","","public","us","https://urlscan.io/result/01981a93-ddb3-7048-903a-1deeade5e792/","https://paradisestyle.co/","paradisestyle.co","paradisestyle.co","","CO","190.8.176.181","jacob.colombiahosting.com.co","AS52335","Colombia Hosting, CO","nginx","https://paradisestyle.co/","paradisestyle.co","paradisestyle.co","false","",""
"2025-07-17T20:20:55.252Z","manual","","public","br","https://urlscan.io/result/01981a0b-e6e0-777d-a449-d996f55cf312/","http://cdvecampinas.com.br/","cdvecampinas.com.br","cdvecampinas.com.br","","BR","185.239.210.16","","AS47583","AS-HOSTINGER Hostinger International Limited, CY","LiteSpeed","https://cdvecampinas.com.br/","cdvecampinas.com.br","cdvecampinas.com.br","false","","visual.person"
"2025-07-14T23:59:14.470Z","api","","public","us","https://urlscan.io/result/01980b60-9361-7468-85e8-4d30974cf3ad/","https://keepcreative.cl/","keepcreative.cl","keepcreative.cl","","US","74.115.211.132","r2.fullxhosting.com","AS29889","FSNET-1, US","Apache","https://keepcreative.cl/","keepcreative.cl","keepcreative.cl","false","",""
"2025-07-14T23:43:02.625Z","api","","unlisted","us","https://urlscan.io/result/01980b51-cdb2-76d1-895c-22b54c27fa72/","https://cardapiobittar.com.br/","cardapiobittar.com.br","cardapiobittar.com.br","","US","162.241.63.81","162-241-63-81.unifiedlayer.com","AS19871","NETWORK-SOLUTIONS-HOSTING, US","Apache","https://cardapiobittar.com.br/","cardapiobittar.com.br","cardapiobittar.com.br","false","",""
"2025-07-14T15:51:47.948Z","manual","","public","br","https://urlscan.io/result/019809a2-839a-713c-8728-d9f457b6803f/","http://miraclechoice.com.br/equipe/rafaela-pimpao/","miraclechoice.com.br","miraclechoice.com.br","","GB","35.214.46.155","155.46.214.35.bc.googleusercontent.com","AS15169","GOOGLE, US","nginx","https://miraclechoice.com.br/equipe/rafaela-pimpao/","miraclechoice.com.br","miraclechoice.com.br","false","","visual.person"
"2025-07-12T10:38:39.432Z","api","","public","at","https://urlscan.io/result/0197fe36-f550-77bf-a28f-c194af4f28e7/","http://margaridalash.com.br/","margaridalash.com.br","margaridalash.com.br","","US","50.116.112.127","br628.hostgator.com.br","AS19871","NETWORK-SOLUTIONS-HOSTING, US","Apache","https://margaridalash.com.br/","margaridalash.com.br","margaridalash.com.br","false","","visual.person"
"2025-07-10T21:59:27.170Z","manual","","public","mx","https://urlscan.io/result/0197f659-829f-765d-9037-bda9de9e5d22/","http://multicopi.com.br/","multicopi.com.br","multicopi.com.br","","US","162.241.203.45","162-241-203-45.unifiedlayer.com","AS19871","NETWORK-SOLUTIONS-HOSTING, US","Apache","https://multicopi.com.br/","multicopi.com.br","multicopi.com.br","false","",""
"2025-07-10T08:41:46.428Z","manual","","public","br","https://urlscan.io/result/0197f37f-4f6a-71cb-bc37-055d2cdf3bf2/","http://saulinho.com.br/entenda-o-novo-simbolo-da-acessibilidade-e-por-que-ele/","saulinho.com.br","saulinho.com.br","","BR","2a02:4780:13:1050:0:fa5:6185:2","","AS47583","AS-HOSTINGER Hostinger International Limited, CY","LiteSpeed","https://saulinho.com.br/entenda-o-novo-simbolo-da-acessibilidade-e-por-que-ele/","saulinho.com.br","saulinho.com.br","false","","visual.person"
"2025-07-10T04:40:53.442Z","api","","unlisted","sg","https://urlscan.io/result/0197f2a2-c222-700f-9577-129e102f3156/","http://carlasevero.com.br/","carlasevero.com.br","carlasevero.com.br","","","172.67.200.204","","AS13335","CLOUDFLARENET, US","cloudflare","https://carlasevero.com.br/","carlasevero.com.br","carlasevero.com.br","false","","hosting.cdn"
"2025-07-09T09:03:14.427Z","api","","public","us","https://urlscan.io/result/0197ee6c-8cea-70e5-befd-51bed3eaa6f6/","http://asilosaovicentepauloassis.com.br/","asilosaovicentepauloassis.com.br","asilosaovicentepauloassis.com.br","","US","50.6.138.125","50-6-138-125.unifiedlayer.com","AS19871","NETWORK-SOLUTIONS-HOSTING, US","nginx/1.23.4","https://asilosaovicentepauloassis.com.br/","asilosaovicentepauloassis.com.br","asilosaovicentepauloassis.com.br","false","","visual.person"
"2025-07-07T21:50:06.874Z","api","","public","fi","https://urlscan.io/result/0197e6de-027a-72dc-ad87-d5ea560c183b/","https://oferta.idealnetfibra.com.br/2025/02/26/creatures-silver-harbors-server/","oferta.idealnetfibra.com.br","idealnetfibra.com.br","@phish_report","US","162.240.171.56","vps-12940958.idealnetfibra.com.br","AS46606","UNIFIEDLAYER-AS-1, US","Apache","https://oferta.idealnetfibra.com.br/2025/02/26/creatures-silver-harbors-server/","oferta.idealnetfibra.com.br","idealnetfibra.com.br","false","",""
"2025-07-07T11:26:08.451Z","api","","public","us","https://urlscan.io/result/0197e4a2-a562-75ed-bfc6-9fdc518ebe3d/","https://asas-sa.co/","asas-sa.co","asas-sa.co","falconsandbox","US","192.232.216.178","192-232-216-178.unifiedlayer.com","AS46606","UNIFIEDLAYER-AS-1, US","nginx/1.25.5","https://asas-sa.co/","asas-sa.co","asas-sa.co","false","",""
"2025-07-07T03:00:20.169Z","manual","","public","jp","https://urlscan.io/result/0197e2d3-9689-761e-97cc-f861eb163acd/","https://www.zebrastudio.co/","www.zebrastudio.co","zebrastudio.co","","US","162.241.60.20","162-241-60-20.unifiedlayer.com","AS19871","NETWORK-SOLUTIONS-HOSTING, US","Apache","https://zebrastudio.co/","zebrastudio.co","zebrastudio.co","false","",""
"2025-07-06T18:56:03.384Z","manual","","public","do","https://urlscan.io/result/0197e118-2118-73f2-872e-9294131e2be3/","http://papeleriaviviscrap.uy/","papeleriaviviscrap.uy","papeleriaviviscrap.uy","","US","192.254.232.175","192-254-232-175.unifiedlayer.com","AS46606","UNIFIEDLAYER-AS-1, US","nginx/1.25.5","https://papeleriaviviscrap.uy/","papeleriaviviscrap.uy","papeleriaviviscrap.uy","false","",""
"2025-07-03T23:02:29.959Z","manual","","public","sa","https://urlscan.io/result/0197d286-c563-734b-8ed4-e9645ec50e1d/","http://asas-sa.co/","asas-sa.co","asas-sa.co","","US","192.232.216.178","192-232-216-178.unifiedlayer.com","AS46606","UNIFIEDLAYER-AS-1, US","nginx/1.25.5","https://asas-sa.co/","asas-sa.co","asas-sa.co","false","",""
